shoulder,elbow,wrist
"[0.696317195892334, 0.6501312851905823]","[0.7598522305488586, 0.8866539597511292]","[0.7919315099716187, 1.0539478063583374]"
"[0.6975476741790771, 0.6494227051734924]","[0.7613043189048767, 0.8894668817520142]","[0.7954093217849731, 1.0661647319793701]"
"[0.6986092925071716, 0.6494137048721313]","[0.7629464864730835, 0.8952875137329102]","[0.799406886100769, 1.0787183046340942]"
"[0.6999621987342834, 0.6512175798416138]","[0.7632304430007935, 0.9020466208457947]","[0.8020732998847961, 1.0855249166488647]"
"[0.700763463973999, 0.6516490578651428]","[0.7638793587684631, 0.9042449593544006]","[0.8048173189163208, 1.0828311443328857]"
"[0.7011754512786865, 0.6528224945068359]","[0.7640215158462524, 0.9049780368804932]","[0.8045408129692078, 1.0815186500549316]"
"[0.7020176649093628, 0.6538458466529846]","[0.7651900053024292, 0.9057387113571167]","[0.8044212460517883, 1.0808848142623901]"
"[0.7026810050010681, 0.6542914509773254]","[0.7655985355377197, 0.9076919555664062]","[0.8041399717330933, 1.0801187753677368]"
"[0.7026650309562683, 0.6545934081077576]","[0.765576958656311, 0.9083166718482971]","[0.8062077760696411, 1.0752462148666382]"
"[0.7026544809341431, 0.6546051502227783]","[0.7655788064002991, 0.908341109752655]","[0.8031471371650696, 1.0753732919692993]"
"[0.7026432156562805, 0.6546305418014526]","[0.7657592296600342, 0.9081154465675354]","[0.8031803965568542, 1.0748190879821777]"
"[0.7027589082717896, 0.6546609401702881]","[0.7657570838928223, 0.9082621932029724]","[0.8031536340713501, 1.0753440856933594]"
"[0.7027832865715027, 0.6546638607978821]","[0.7658530473709106, 0.9086605310440063]","[0.8022167086601257, 1.0765477418899536]"
"[0.7030069231987, 0.655348539352417]","[0.7666488885879517, 0.9098851680755615]","[0.8010476231575012, 1.0815606117248535]"
"[0.7030471563339233, 0.6554445028305054]","[0.7667960524559021, 0.9099622964859009]","[0.8009708523750305, 1.0824978351593018]"
"[0.703250527381897, 0.6555332541465759]","[0.7670009136199951, 0.9099140763282776]","[0.8019880056381226, 1.0824410915374756]"
"[0.7032516598701477, 0.6555384397506714]","[0.7669321298599243, 0.9098806977272034]","[0.8019636273384094, 1.0790679454803467]"
"[0.7032604813575745, 0.6555432081222534]","[0.7669299840927124, 0.9099798202514648]","[0.8032897710800171, 1.077728033065796]"
"[0.7033259868621826, 0.6555171608924866]","[0.7667933702468872, 0.9099605679512024]","[0.8027104139328003, 1.0776798725128174]"
"[0.7033701539039612, 0.6555407047271729]","[0.7667263150215149, 0.9102058410644531]","[0.802511990070343, 1.081244707107544]"
"[0.7036360502243042, 0.656138002872467]","[0.7666245698928833, 0.9119441509246826]","[0.8007176518440247, 1.0828725099563599]"
"[0.7036579847335815, 0.6563356518745422]","[0.766665518283844, 0.9120790362358093]","[0.8007357716560364, 1.082755208015442]"
"[0.703665018081665, 0.6563457250595093]","[0.7667486071586609, 0.9120547771453857]","[0.8007521629333496, 1.0839651823043823]"
"[0.7037533521652222, 0.6565285921096802]","[0.7665972709655762, 0.912441611289978]","[0.8007450103759766, 1.0845515727996826]"
"[0.7037585973739624, 0.6567636132240295]","[0.7665144205093384, 0.913189709186554]","[0.7996518015861511, 1.0872291326522827]"
"[0.7037625908851624, 0.6567661166191101]","[0.7664731740951538, 0.9130455851554871]","[0.7978750467300415, 1.0870987176895142]"
"[0.7038418054580688, 0.6572925448417664]","[0.7662727236747742, 0.913344144821167]","[0.7963895201683044, 1.0877165794372559]"
"[0.7038450837135315, 0.6572330594062805]","[0.7662020325660706, 0.9132606387138367]","[0.7964209914207458, 1.087643027305603]"
"[0.7038448452949524, 0.6572693586349487]","[0.7659701108932495, 0.9132606387138367]","[0.7965778708457947, 1.0875604152679443]"
"[0.7038270235061646, 0.6573001742362976]","[0.7655784487724304, 0.913317084312439]","[0.7980595231056213, 1.0841621160507202]"
"[0.7038293480873108, 0.6574066281318665]","[0.7656017541885376, 0.913718044757843]","[0.7998906373977661, 1.0834463834762573]"
"[0.7038253545761108, 0.657345175743103]","[0.7653802633285522, 0.9134507775306702]","[0.800671398639679, 1.079535961151123]"
"[0.7038244009017944, 0.657349705696106]","[0.7653672695159912, 0.9134544134140015]","[0.8006669282913208, 1.0799907445907593]"
"[0.7038253545761108, 0.6573137044906616]","[0.7653617858886719, 0.9134700894355774]","[0.8007834553718567, 1.081725001335144]"
"[0.7038360834121704, 0.6573182940483093]","[0.7653239965438843, 0.9135006070137024]","[0.8008101582527161, 1.0816389322280884]"
"[0.703828752040863, 0.6574236750602722]","[0.7653177976608276, 0.9135465621948242]","[0.8006003499031067, 1.0820555686950684]"
"[0.7038276791572571, 0.6574269533157349]","[0.7653712034225464, 0.9135330319404602]","[0.8001173138618469, 1.082802176475525]"
"[0.7037179470062256, 0.6574315428733826]","[0.7653443217277527, 0.9131926894187927]","[0.8001106381416321, 1.0825968980789185]"
"[0.7037163972854614, 0.65743488073349]","[0.7653235793113708, 0.9130502939224243]","[0.8001446723937988, 1.0824617147445679]"
"[0.7036272883415222, 0.6573780179023743]","[0.7652882933616638, 0.9128919243812561]","[0.803180992603302, 1.0816880464553833]"
"[0.7035771608352661, 0.6573823690414429]","[0.7652816772460938, 0.912824809551239]","[0.8024411201477051, 1.0817521810531616]"
"[0.7034280896186829, 0.6572200655937195]","[0.7652324438095093, 0.9122521877288818]","[0.8027846217155457, 1.081895112991333]"
"[0.7034185528755188, 0.657218337059021]","[0.7653778195381165, 0.9121067523956299]","[0.8024816513061523, 1.0832600593566895]"
"[0.7033021450042725, 0.6572096943855286]","[0.7653682231903076, 0.9121674299240112]","[0.8022786378860474, 1.0833008289337158]"
"[0.7031884789466858, 0.6572118997573853]","[0.7653282880783081, 0.9121682643890381]","[0.8027890920639038, 1.0827655792236328]"
"[0.7031815648078918, 0.6573160886764526]","[0.7651052474975586, 0.9122434854507446]","[0.8029536008834839, 1.0832931995391846]"
"[0.7031861543655396, 0.6573932766914368]","[0.7650949358940125, 0.9122863411903381]","[0.802862823009491, 1.0852465629577637]"
"[0.7031990885734558, 0.657427191734314]","[0.7651046514511108, 0.912304162979126]","[0.802791953086853, 1.0859190225601196]"
"[0.7031971216201782, 0.6574689149856567]","[0.7650831937789917, 0.9121878743171692]","[0.8040573000907898, 1.0859135389328003]"
"[0.7031257152557373, 0.6574060916900635]","[0.7650810480117798, 0.9121798276901245]","[0.8040301203727722, 1.0859005451202393]"
"[0.7030473947525024, 0.6573362946510315]","[0.7650647163391113, 0.9118435978889465]","[0.804010272026062, 1.0859286785125732]"
"[0.7029528617858887, 0.6573406457901001]","[0.7652167677879333, 0.9118890762329102]","[0.8037301898002625, 1.0859267711639404]"
"[0.7029660940170288, 0.6573959589004517]","[0.7652243375778198, 0.9120652675628662]","[0.8031309247016907, 1.0859466791152954]"
"[0.7029582262039185, 0.6573647260665894]","[0.7652224898338318, 0.9120670557022095]","[0.8037581443786621, 1.0860518217086792]"
"[0.7029536366462708, 0.6574827432632446]","[0.7652184963226318, 0.9120544195175171]","[0.8038011789321899, 1.0851695537567139]"
"[0.7029734253883362, 0.65756756067276]","[0.7652601003646851, 0.9129759669303894]","[0.8022839426994324, 1.0879981517791748]"
"[0.7029717564582825, 0.6577885746955872]","[0.765285849571228, 0.9130733609199524]","[0.8027781248092651, 1.0888034105300903]"
"[0.703025758266449, 0.6578480005264282]","[0.7653074860572815, 0.9134283065795898]","[0.8035115003585815, 1.0882251262664795]"
"[0.7030235528945923, 0.6578332185745239]","[0.7654258012771606, 0.9132236838340759]","[0.8036354780197144, 1.0874236822128296]"
"[0.7030361890792847, 0.6577935814857483]","[0.7654187083244324, 0.913205087184906]","[0.8032509684562683, 1.086108922958374]"
"[0.7031134366989136, 0.6577950119972229]","[0.7653999924659729, 0.9132198691368103]","[0.8014658093452454, 1.0877245664596558]"
"[0.7031790018081665, 0.6578047275543213]","[0.7654423117637634, 0.9132694602012634]","[0.8013709783554077, 1.0879664421081543]"
"[0.7033658027648926, 0.6578874588012695]","[0.7654436826705933, 0.913479208946228]","[0.8000301122665405, 1.0879483222961426]"
"[0.7033510804176331, 0.6577364206314087]","[0.7653716206550598, 0.9134544730186462]","[0.8000461459159851, 1.0870674848556519]"
